Name	Type	Activation	ActivationValue	Ranked	RankMin	Description
Loyalty Through Strength	Path	Passive	taPassive	false	4	Your Pokes gain a bonus for each point of Loyalty they have toward you: 1 Loyalty - +1 to HP or Speed 2 loyalty - +1 to Physical Defense or Special Defense 3 loyalty - +1 to Physical Attack or Special Attack
Suffer The Consequences	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once Per session when an opponent fails a check you may suffer two strain each up to the number of uncancelled failures. Each time you do this one failure is instead treated as a despair.
Every Goon Has His Day	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once per session when you succeed a check you may suffer two strain each up to the number of uncancelled Successes. Each time you do this one success is treated as a triumph.
Do Or Die	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once per session when one of your Pokes fails to do damage with a Move you may have your Poke take two times the uncancelled failures plus 1 strain to reroll the attack. Once this talent is triggered it does not stop until either your attack succeeds or your Poke feints.
Unity	Path	Passive	taPassive	false	4	Your Path ability extends to your Pokes you may use their scores as well as your own for the swap.
Third Sight	Path	Active - Action	taAction	false	4	You know where a certain path leads (Once per session ask the GM the outcome of one choice, out of battle only).
Threefold Strike	Path	Active - Incidental	taIncidental	false	4	Once per day if PCs have three turns before the next NCP turn you may activate this ability. Each Poke takes two strain then all three Pokes act at once Moves activate as normal but only the Poke belonging to you has their damage reduced by the enemy soak. Turn tracker is then set three forward.
Quick Hands	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once per session when one of your Pokes eats or has their held item taken from them. You may replace it with an item from your inventory.
Patience	Path	Active - Incidental	taIncidental	false	4	Once per session you may spend a story point to reroll any check.
Specialization Makes You. Predictable.	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once per session you may cancel another Trainer’s Path ability or Talent.
Loyal Companion	Path	Passive	taPassive	false	4	You gain boost die on skill checks equal to the Loyalty score of your active Poke.
Motivational Speaker	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once Per session when a player and GM Each spend a story point to upgrade a check. You may regain the story point and add a boost die to the check.
Corrected Stance	Path	Active - Incidental	taIncidental	false	4	Once per session you may use a story point to downdgrade the difficulty of an attack.
Hellllooooooo Nurse	Path	Passive	taPassive	false	4	Charm checks against people who could find you attractive have their difficulty downgraded once.
Laughter is The Best Medicine	Path	Active - Action	taAction	false	4	Once per session make a charm check to heal a person or Poke(effects very based on success).
Viral Load	Path	Active - Incidental	taIncidental	false	4	Once per session add the Poison property to one of your Pokes moves for one attack.
Strider	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once per day at the start of a battle you may activate this ability. The first time you use each Poke in the battle your enemy does not know what the Poke is.
Tag Team	Path	Active - Incidental	taIncidental	false	4	Once each battle you may take two strain to add the linked property to one of your Poke’s moves for one attack, if it already has the linked property increase the linked rating by one.
Favored Enemy	Path	Passive	taPassive	false	4	When you take this talent pick a type. Moves of the chosen type do not receive STAB when targeting your Pokes.
Well Actually...	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once per session when an ally fails a knowledge check or gains false information. You may immediately make a knowledge check using his skill ranks upgraded twice or your own, whichever is higher.
Scientific Rigger	Path	Passive	taPassive	false	4	When you fail two checks in a row, any subsequent checks are upgraded you receive additional upgrades for each two failed checks continuing until you succeed on a check at which point your checks return to normal. Upgrades do not carry over between sessions.
Eureka	Path	Passive	taPassive	false	4	Whenever you roll a triumph on a knowledge check you can trade the triumph for successes equal to the ranks of the skill rolled.
Rappid Reposition	Path	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once per session as an out of turn incidental one of your Pokes gains a maneuver that can only be used to move into cover or move into engaged range of an enemy.   If you move into cover, give enemies attacking you an additional disadvantage.   If you move into engage range of an enemy, you may immediately use a Move however during your next turn you cannot use your action to use a Move. 
Defensive Posturing	Path	Passive	taPassive	false	4	Your Pokes have +1 to their Armor.
Called Shot	Path	Active - Incidental	taIncidental	false	4	Whenever one of your Pokes uses the Aim maneuver you may choose to add an amount of setback dice to their dice pool for their Move this turn. If their Move succeeds and deals damage add twice that many dice to the target Pokes next Move.
Superior Typing	Path	Passive	taPassive	false	4	All moves of your Specializations include STAB.
Custom Moves	Path	Passive	taPassive	false	4	You may add one property to each move of your Specialization thats your Pokes have in their Move pool. (Keep it thematic)
Battle Surge	Path	Active - Incidental	taIncidental	false	4	Once per day at the beginning of a battle you may choose one of your Specializations. Moves of that specialization are not subject to resistance or immunities for this battle.
